11635
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Huitième extrait>,<>,<>
aux,à,81
aux,le,71
flancs,flanc,21
purs,pur,30
;,;,p
préservé,préserver,12
",",",",p
même,même,60
dans,dans,81
l',le,71
aluminium,aluminium,21
",",",",p
dans,dans,81
les,le,71
faux,faux,30
émaux,émail,21
",",",",p
dans,dans,81
les,le,71
verres,verre,21
colorés,coloré,31
",",",",p
la,le,71
grâce,grâce,22
des,de,81
des,le,71
façons,façon,22
d'antan,d'antan,60
/.,/.,P
en,en,81
somme,somme,22
",",",",p
la,le,71
plupart,plupart,22
des,de,81
des,le,71
objets,objet,21
précieux,précieux,30
",",",",p
classés,classé,31
au,à,81
au,le,71
musée,musée,21
de,de,81
Cluny,Cluny,20
",",",",p
et,et,82
échappés,échappé,31
par,par,81
miracle,miracle,21
à,à,81
l',le,71
immonde,immonde,30
sauvagerie,sauvagerie,22
des,de,81
des,le,71
sans-culottes,sans-culotte,21
",",",",p
proviennent,provenir,17
des,de,81
des,le,71
anciennes,ancien,30
abbayes,abbaye,22
de,de,81
France,France,20
;,;,p
de,de,81
même,même,60
que,que,83
l',le,71
Eglise,Eglise,20
a,avoir,17
préservé,préserver,12
de,de,81
la,le,71
barbarie,barbarie,22
",",",",p
au,à,81
au,le,71
moyen,moyen,30
âge,âge,21
",",",",p
la,le,71
philosophie,philosophie,22
",",",",p
l',le,71
histoire,histoire,22
et,et,82
les,le,71
lettres,lettre,22
",",",",p
de,de,81
même,même,60
elle,il,51
a,avoir,17
sauvé,sauver,12
l',le,71
art,art,21
plastique,plastique,30
",",",",p
amené,amener,12
jusqu',jusque,81
à,à,81
nos,notre,73
jours,jour,21
ces,ce,74
merveilleux,merveilleux,30
modèles,modèle,21
de,de,81
tissus,tissu,21
",",",",p
de,de,81
joailleries,joaillerie,22
que,que,52
les,le,71
fabricants,fabricant,21
de,de,81
choses,chose,22
saintes,saint,30
gâtent,gâter,17
le,le,71
plus,plus,60
qu',que,83
ils,ils,51
peuvent,pouvoir,17
",",",",p
sans,sans,81
en,en,52
pouvoir,pouvoir,14
toutefois,toutefois,60
altérer,altérer,14
la,le,71
forme,forme,22
initiale,initial,30
",",",",p
exquise,exquis,30
/.,/.,P
il,il,51
n',ne,60
y,y,52
avait,avoir,18
dès,dès,81
lors,lors,60
rien,rien,52
de,de,81
surprenant,surprenant,30
à,à,81
ce,ce,52
qu',que,52
il,il,51
eût,avoir,19
pourchassé,pourchasser,12
ces,ce,74
antiques,antique,30
bibelots,bibelot,21
",",",",p
qu',que,52
il,il,51
eût,avoir,19
",",",",p
avec,avec,81
nombre,nombre,21
de,de,81
collectionneurs,collectionneur,21
",",",",p
retiré,retirer,12
ces,ce,74
reliques,relique,22
de,de,81
chez,chez,81
les,le,71
antiquaires,antiquaire,21
de,de,81
Paris,Paris,20
",",",",p
de,de,81
chez,chez,81
les,le,71
brocanteurs,brocanteur,21
de,de,81
la,le,71
campagne,campagne,22
/.,/.,P
mais,mais,82
",",",",p
il,il,51
avait,avoir,18
beau,beau,60
invoquer,invoquer,14
toutes,tout,75
ces,ce,74
raisons,raison,22
",",",",p
il,il,51
ne,ne,60
parvenait,parvenir,18
pas,pas,60
complètement,complètement,60
à,à,81
se,se,51
convaincre,convaincre,14
/.,/.,P
certes,certes,60
",",",",p
en,en,81
se,se,51
résumant,résumer,13
",",",",p
il,il,51
persistait,persister,18
à,à,81
considérer,considérer,14
la,le,71
religion,religion,22
ainsi,ainsi,60
qu',que,83
une,un,71
superbe,superbe,30
légende,légende,22
",",",",p
qu',que,83
une,un,71
magnifique,magnifique,30
imposture,imposture,22
",",",",p
et,et,82
cependant,cependant,82
",",",",p
en,en,81
dépit,dépit,21
de,de,81
toutes,tout,75
ces,ce,74
explications,explication,22
",",",",p
son,son,73
scepticisme,scepticisme,21
commençait,commencer,18
à,à,81
s',se,51
entamer,entamer,14
/.,/.,P
évidemment,évidemment,60
",",",",p
ce,ce,74
fait,fait,21
bizarre,bizarre,30
existait,exister,18
:,:,p
il,il,51
était,être,18
moins,moins,60
assuré,assurer,12
maintenant,maintenant,60
que,que,83
dans,dans,81
son,son,73
enfance,enfance,22
",",",",p
alors,alors,60
que,que,83
la,le,71
sollicitude,sollicitude,22
des,de,81
des,le,71
jésuites,jésuite,21
était,être,18
directe,direct,30
",",",",p
que,que,83
leur,leur,73
enseignement,enseignement,21
était,être,18
inévitable,inévitable,30
",",",",p
qu',que,83
il,il,51
était,être,18
entre,entre,81
leurs,leur,73
mains,main,22
",",",",p
leur,leur,52
appartenait,appartenir,18
",",",",p
corps,corps,21
et,et,82
âme,âme,22
",",",",p
sans,sans,81
liens,lien,21
de,de,81
famille,famille,22
",",",",p
sans,sans,81
influences,influence,22
pouvant,pouvoir,13
réagir,réagir,14
contre,contre,81
eux,ils,51
",",",",p
du,de,81
du,le,71
dehors,dehors,21
/.,/.,P
ils,ils,51
lui,lui,51
avaient,avoir,18
aussi,aussi,60
inculqué,inculquer,12
un,un,71
certain,certain,75
goût,goût,21
du,de,81
du,le,71
merveilleux,merveilleux,30
qui,qui,52
s',se,51
était,être,18
lentement,lentement,60
et,et,82
obscurément,obscurément,60
ramifié,ramifier,12
dans,dans,81
son,son,73
âme,âme,22
",",",",p
qui,qui,52
s',se,51
épanouissait,épanouir,18
aujourd'hui,aujourd'hui,60
",",",",p
dans,dans,81
la,le,71
solitude,solitude,22
",",",",p
qui,qui,52
agissait,agir,18
quand,quand,83
même,même,60
sur,sur,81
l',le,71
esprit,esprit,21
silencieux,silencieux,30
",",",",p
interné,interné,31
",",",",p
promené,promené,31
dans,dans,81
le,le,71
court,court,30
manège,manège,21
des,de,81
des,le,71
idées,idée,22
fixes,fixe,30
/.,/.,P
à,à,81
examiner,examiner,14
le,le,71
travail,travail,21
de,de,81
sa,son,73
pensée,pensée,22
",",",",p
à,à,81
chercher,chercher,14
à,à,81
en,en,52
relier,relier,14
les,le,71
fils,fil,21
",",",",p
à,à,81
en,en,52
découvrir,découvrir,14
les,le,71
sources,source,22
et,et,82
les,le,71
causes,cause,22
",",",",p
il,il,51
en,en,52
vint,venir,19
à,à,81
se,se,51
persuader,persuader,14
que,que,83
ses,son,73
agissements,agissement,21
",",",",p
pendant,pendant,81
sa,son,73
vie,vie,22
mondaine,mondain,30
",",",",p
dérivaient,dériver,18
de,de,81
l',le,71
éducation,éducation,22
qu',que,52
il,il,51
avait,avoir,18
reçue,recevoir,12
/.,/.,P
ainsi,ainsi,60
ses,son,73
tendances,tendance,22
vers,vers,81
l',le,71
artifice,artifice,21
",",",",p
ses,son,73
besoins,besoin,21
d',de,81
excentricité,excentricité,22
",",",",p
n',ne,60
étaient,être,18
ils,ils,51
pas,pas,60
",",",",p
en,en,81
somme,somme,22
",",",",p
des,de,81
des,le,71
résultats,résultat,21
d',de,81
études,étude,22
spécieuses,spécieux,30
",",",",p
de,de,81
raffinements,raffinement,21
extraterrestres,extraterrestre,30
",",",",p
de,de,81
spéculations,spéculation,22
quasi,quasi,60
théologiques,théologique,30
;,;,p
c',ce,52
étaient,être,18
",",",",p
au,à,81
au,le,71
fond,fond,21
",",",",p
des,de,81
des,le,71
transports,transport,21
",",",",p
des,de,81
des,le,71
élans,élan,21
vers,vers,81
un,un,71
idéal,idéal,21
",",",",p
vers,vers,81
un,un,71
univers,univers,21
inconnu,inconnu,30
",",",",p
vers,vers,81
une,un,71
béatitude,béatitude,22
lointaine,lointain,30
",",",",p
désirable,désirable,30
comme,comme,83
celle,celui,52
que,que,52
nous,nous,51
promettent,promettre,17
les,le,71
Ecritures,Ecritures,20
/.,/.,P
il,il,51
s',se,51
arrêta,arrêter,19
net,net,60
",",",",p
brisa,briser,19
le,le,71
fil,fil,21
de,de,81
ses,son,73
réflexions,réflexion,22
/.,/.,P
-,-,p
allons,aller,17
",",",",p
se,se,51
dit,dire,17
il,il,51
",",",",p
dépité,dépité,31
",",",",p
je,je,51
suis,être,17
encore,encore,60
plus,plus,60
atteint,atteindre,12
que,que,83
je,je,51
ne,ne,60
le,le,52
croyais,croire,18
;,;,p
voilà,voilà,81
que,que,83
j',je,51
argumente,argumenter,17
avec,avec,81
moi-même,moi-même,51
",",",",p
ainsi,ainsi,60
qu',que,83
un,un,71
casuiste,casuiste,21
/.,/.,P
il,il,51
resta,rester,19
songeur,songeur,30
",",",",p
agité,agité,31
d',de,81
une,un,71
crainte,crainte,22
sourde,sourd,30
;,;,p
certes,certes,60
",",",",p
si,si,83
la,le,71
théorie,théorie,22
de,de,81
Lacordaire,Lacordaire,20
était,être,18
exacte,exact,30
",",",",p
il,il,51
n',ne,60
avait,avoir,18
rien,rien,52
à,à,81
redouter,redouter,14
",",",",p
puisque,puisque,83
le,le,71
coup,coup,21
magique,magique,30
de,de,81
la,le,71
conversion,conversion,22
ne,ne,60
se,se,51
produit,produire,17
point,point,60
dans,dans,81
un,un,71
sursaut,sursaut,21
;,;,p
il,il,51
fallait,falloir,18
",",",",p
pour,pour,81
amener,amener,14
l',le,71
explosion,explosion,22
",",",",p
que,que,83
le,le,71
terrain,terrain,21
fût,être,19
longuement,longuement,60
",",",",p
constamment,constamment,60
miné,miner,12
;,;,p
mais,mais,82
si,si,83
les,le,71
romanciers,romancier,21
parlent,parler,17
du,de,81
du,le,71
coup,coup,21
de,de,81
foudre,foudre,22
de,de,81
l',le,71
amour,amour,21
",",",",p
un,un,71
certain,certain,75
nombre,nombre,21
de,de,81
théologiens,théologien,21
parlent,parler,17
aussi,aussi,60
du,de,81
du,le,71
coup,coup,21
de,de,81
foudre,foudre,22
de,de,81
la,le,71
religion,religion,22
;,;,p
en,en,81
admettant,admettre,13
que,que,83
cette,ce,74
doctrine,doctrine,22
fût,être,19
vraie,vrai,30
",",",",p
personne,personne,52
n',ne,60
était,être,18
alors,alors,60
sûr,sûr,30
de,de,81
ne,ne,60
pas,pas,60
succomber,succomber,14
/.,/.,P
il,il,51
n',ne,60
y,y,52
avait,avoir,18
plus,plus,60
ni,ni,82
analyse,analyse,22
à,à,81
faire,faire,14
sur,sur,81
soi-même,soi-même,51
",",",",p
ni,ni,82
pressentiments,pressentiment,21
à,à,81
considérer,considérer,14
",",",",p
ni,ni,82
mesures,mesure,22
préventives,préventif,30
à,à,81
requérir,requérir,14
;,;,p
la,le,71
psychologie,psychologie,22
du,de,81
du,le,71
mysticisme,mysticisme,21
était,être,18
nulle,nul,30
/.,/.,P
c',ce,52
était,être,18
ainsi,ainsi,60
parce que,parce que,83
c',ce,52
était,être,18
ainsi,ainsi,60
",",",",p
et,et,82
voilà,voilà,81
tout,tout,52
/.,/.,P
-,-,p
eh,eh,93
!,!,p
je,je,51
deviens,devenir,17
stupide,stupide,30
",",",",p
se,se,51
dit,dire,17
des,de,81
des,le,71
Esseintes,Esseintes,20
;,;,p
la,le,71
crainte,crainte,22
de,de,81
cette,ce,74
maladie,maladie,22
va,aller,17
finir,finir,14
par,par,81
déterminer,déterminer,14
la,le,71
maladie,maladie,22
elle-même,lui-même,51
",",",",p
si,si,83
ça,ça,52
continue,continuer,17
/.,/.,P
il,il,51
parvint,parvenir,19
à,à,81
secouer,secouer,14
un,un,71
peu,peu,60
cette,ce,74
influence,influence,22
;,;,p
ses,son,73
souvenirs,souvenir,21
s',se,51
apaisèrent,apaiser,19
",",",",p
mais,mais,82
d',de,81
autres,autre,75
symptômes,symptôme,21
morbides,morbide,30
parurent,paraître,19
;,;,p
maintenant,maintenant,60
les,le,71
sujets,sujet,21
de,de,81
discussions,discussion,22
le,le,52
hantaient,hanter,18
seuls,seul,30
;,;,p
le,le,71
parc,parc,21
",",",",p
les,le,71
leçons,leçon,22
",",",",p
les,le,71
jésuites,jésuite,21
étaient,être,18
loin,loin,60
;,;,p
il,il,51
était,être,18
dominé,dominer,12
",",",",p
tout,tout,60
entier,entier,30
",",",",p
par,par,81
des,de,81
des,le,71
abstractions,abstraction,22
;,;,p
il,il,51
pensait,penser,18
",",",",p
malgré,malgré,81
lui,lui,51
",",",",p
à,à,81
des,de,81
des,le,71
interprétations,interprétation,22
contradictoires,contradictoire,30
de,de,81
dogmes,dogme,21
",",",",p
à,à,81
des,de,81
des,le,71
apostasies,apostasie,22
perdues,perdu,31
",",",",p
consignées,consigné,31
dans,dans,81
l',le,71
ouvrage,ouvrage,21
sur,sur,81
les,le,71
conciles,concile,21
du,de,81
du,le,71
père,père,21
Labbe,Labbe,20
/.,/.,P
des,de,81
des,le,71
bribes,bribe,22
de,de,81
ces,ce,74
schismes,schisme,21
",",",",p
des,de,81
des,le,71
bouts,bout,21
de,de,81
ces,ce,74
hérésies,hérésie,22
",",",",p
qui,qui,52
divisèrent,diviser,19
",",",",p
pendant,pendant,81
des,de,81
des,le,71
siècles,siècle,21
",",",",p
les,le,71
Eglises,Eglises,20
de,de,81
l',le,71
occident,occident,21
et,et,82
de,de,81
l',le,71
Orient,Orient,20
",",",",p
lui,lui,51
revenaient,revenir,18
/.,/.,P
ici,ici,60
",",",",p
Nestorius,Nestorius,20
contestant,contester,13
à,à,81
la,le,71
Vierge,Vierge,20
le,le,71
titre,titre,21
de,de,81
mère,mère,22
de,de,81
dieu,dieu,21
",",",",p
parce que,parce que,83
",",",",p
dans,dans,81
le,le,71
mystère,mystère,21
de,de,81
l',le,71
incarnation,incarnation,22
",",",",p
ce,ce,52
n',ne,60
était,être,18
pas,pas,60
le,le,71
dieu,dieu,21
",",",",p
mais,mais,82
bien,bien,60
la,le,71
créature,créature,22
humaine,humain,30
qu',que,52
elle,il,51
avait,avoir,18
portée,porter,12
dans,dans,81
ses,son,73
flancs,flanc,21
;,;,p
là,là,60
",",",",p
Eutychès,Eutychès,20
",",",",p
déclarant,déclarer,13
que,que,83
l',le,71
image,image,22
du,de,81
du,le,71
Christ,Christ,20
ne,ne,60
pouvait,pouvoir,18
ressembler,ressembler,14
à,à,81
celle,celui,52
des,de,81
des,le,71
autres,autre,75
hommes,homme,21
",",",",p
puisque,puisque,83
la,le,71
divinité,divinité,22
avait,avoir,18
élu,élire,12
domicile,domicile,21
dans,dans,81
son,son,73
corps,corps,21
et,et,82
en,en,52
avait,avoir,18
",",",",p
par,par,81
conséquent,conséquent,30
",",",",p
changé,changer,12
la,le,71
forme,forme,22
du,de,81
du,le,71
tout,tout,21
au,à,81
au,le,71
tout,tout,21
;,;,p
là,là,60
encore,encore,60
",",",",p
d',de,81
autres,autre,75
ergoteurs,ergoteur,21
soutenaient,soutenir,18
que,que,83
le,le,71
rédempteur,rédempteur,21
n',ne,60
avait,avoir,18
pas,pas,60
eu,avoir,12
du,de,81
du,le,71
tout,tout,21
de,de,81
corps,corps,21
",",",",p
que,que,83
cette,ce,74
expression,expression,22
des,de,81
des,le,71
livres,livre,21
saints,saint,30
devait,devoir,18
être,être,14
prise,prendre,12
au,à,81
au,le,71
figuré,figuré,21
;,;,p
tandis que,tandis que,83
Tertullien,Tertullien,20
émettait,émettre,18
son,son,73
fameux,fameux,30
axiome,axiome,21
quasi,quasi,60
matérialiste,matérialiste,30
:,:,p
“,“,p
rien,rien,52
n',ne,60
est,être,17
incorporel,incorporel,30
que,que,83
ce,ce,52
qui,qui,52
n',ne,60
est,être,17
pas,pas,60
;,;,p
tout,tout,52
ce,ce,52
qui,qui,52
est,être,17
",",",",p
a,avoir,17
un,un,71
corps,corps,21
qui,qui,52
lui,lui,51
est,être,17
propre,propre,30
“,“,p
;,;,p
enfin,enfin,60
cette,ce,74
vieille,vieux,30
question,question,22
",",",",p
débattue,débattu,31
pendant,pendant,81
des,de,81
des,le,71
ans,an,21
:,:,p
le,le,71
Christ,Christ,20
a,avoir,17
t,t,94
il,il,51
été,être,12
attaché,attacher,12
",",",",p
seul,seul,30
",",",",p
sur,sur,81
la,le,71
croix,croix,22
ou,ou,82
bien,bien,60
la,le,71
Trinité,Trinité,20
",",",",p
une,un,52
en,en,81
trois,trois,72
personnes,personne,22
",",",",p
a,avoir,17
t,t,94
elle,il,51
souffert,souffrir,12
",",",",p
dans,dans,81
sa,son,73
triple,triple,30
hypostase,hypostase,22
",",",",p
sur,sur,81
le,le,71
gibet,gibet,21
du,de,81
du,le,71
Calvaire,Calvaire,20
?,?,p
le,le,52
sollicitaient,solliciter,18
",",",",p
et,et,82
le,le,52
pressaient,presser,18
-,-,p
et,et,82
",",",",p
machinalement,machinalement,60
",",",",p
comme,comme,83
une,un,71
leçon,leçon,22
jadis,jadis,60
apprise,appris,31
",",",",p
il,il,51
se,se,51
posait,poser,18
à,à,81
lui-même,lui-même,51
les,le,71
questions,question,22
et,et,82
se,se,51
donnait,donner,18
les,le,71
réponses,réponse,22
/.,/.,P
ce,ce,52
fut,être,19
",",",",p
durant,durant,81
quelques,quelque,75
jours,jour,21
",",",",p
dans,dans,81
sa,son,73
cervelle,cervelle,22
",",",",p
un,un,71
grouillement,grouillement,21
de,de,81
paradoxes,paradoxe,21
",",",",p
de,de,81
subtilités,subtilité,22
",",",",p
un,un,71
vol,vol,21
de,de,81
poils,poil,21
fendus,fendu,31
en,en,81
quatre,quatre,72
",",",",p
un,un,71
écheveau,écheveau,21
de,de,81
règles,règle,22
aussi,aussi,60
compliquées,compliqué,31
que,que,83
des,de,81
des,le,71
articles,article,21
de,de,81
codes,code,21
",",",",p
prêtant,prêter,13
à,à,81
tous,tout,75
les,le,71
sens,sens,21
",",",",p
à,à,81
tous,tout,75
les,le,71
jeux,jeu,21
de,de,81
mots,mot,21
",",",",p
aboutissant,aboutir,13
à,à,81
une,un,71
jurisprudence,jurisprudence,22
céleste,céleste,30
des,de,81
des,le,71
plus,plus,60
ténues,ténu,30
",",",",p
des,de,81
des,le,71
plus,plus,60
baroques,baroque,30
;,;,p
puis,puis,60
le,le,71
côté,côté,21
abstrait,abstrait,31
s',se,51
effaça,effacer,19
",",",",p
à,à,81
son,son,73
tour,tour,21
",",",",p
et,et,82
tout,tout,75
un,un,71
côté,côté,21
plastique,plastique,30
lui,lui,51
succéda,succéder,19
",",",",p
sous,sous,81
l',le,71
action,action,22
des,de,81
des,le,71
Gustave,Gustave,20
Moreau,Moreau,20
pendus,pendu,31
aux,à,81
aux,le,71
murs,mur,21
/.,/.,P
il,il,51
vit,voir,19
défiler,défiler,14
toute,tout,75
une,un,71
procession,procession,22
de,de,81
prélats,prélat,21
:,:,p
des,de,81
des,le,71
archimandrites,archimandrite,21
",",",",p
des,de,81
des,le,71
patriarches,patriarche,21
",",",",p
levant,lever,13
",",",",p
pour,pour,81
bénir,bénir,14
la,le,71
foule,foule,22
agenouillée,agenouillé,31
",",",",p
des,de,81
des,le,71
bras,bras,21
d',de,81
or,or,21
",",",",p
agitant,agiter,13
leurs,leur,73
barbes,barbe,22
blanches,blanc,30
dans,dans,81
la,le,71
lecture,lecture,22
et,et,82
la,le,71
prière,prière,22
;,;,p
il,il,51
vit,voir,19
s',se,51
enfoncer,enfoncer,14
dans,dans,81
des,de,81
des,le,71
cryptes,crypte,22
obscures,obscur,30
des,de,81
des,le,71
files,file,22
silencieuses,silencieux,30
de,de,81
pénitents,pénitent,21
;,;,p
il,il,51
vit,voir,19
s',se,51
élever,élever,14
des,de,81
des,le,71
cathédrales,cathédrale,22
immenses,immense,30
où,où,60
tonitruaient,tonitruer,18
des,de,81
des,le,71
moines,moine,21
blancs,blanc,30
en,en,81
chaire,chaire,22
/.,/.,P
de,de,81
même,même,60
qu',que,83
après,après,81
une,un,71
touche,touche,22
d',de,81
opium,opium,21
",",",",p
de,de,81
Quincey,Quincey,20
",",",",p
au,à,81
au,le,71
seul,seul,30
mot,mot,21
de,de,81
“,“,p
consul,consul,21
Romanus,Romanus,20
“,“,p
",",",",p
évoquait,évoquer,18
des,de,81
des,le,71
pages,page,22
entières,entier,30
de,de,81
Tite-Live,Tite-Live,20
",",",",p
regardait,regarder,18
s',se,51
avancer,avancer,14
la,le,71
marche,marche,22
solennelle,solennel,30
des,de,81
des,le,71
consuls,consul,21
",",",",p
s',se,51
ébranler,ébranler,14
la,le,71
pompeuse,pompeux,30
ordonnance,ordonnance,22
des,de,81
des,le,71
armées,armée,22
romaines,romain,30
;,;,p
lui,lui,51
",",",",p
sur,sur,81
une,un,71
expression,expression,22
théologique,théologique,30
",",",",p
demeurait,demeurer,18
haletant,haletant,30
",",",",p
considérait,considérer,18
des,de,81
des,le,71
reflux,reflux,21
de,de,81
peuple,peuple,21
",",",",p
des,de,81
des,le,71
apparitions,apparition,22
épiscopales,épiscopal,30
se,se,51
détachant,détacher,13
sur,sur,81
les,le,71
fonds,fond,21
embrasés,embrasé,31
des,de,81
des,le,71
basiliques,basilique,22
;,;,p
ces,ce,74
spectacles,spectacle,21
le,le,52
tenaient,tenir,18
sous,sous,81
le,le,71
charme,charme,21
",",",",p
courant,courir,13
d',de,81
âges,âge,21
en,en,81
âges,âge,21
",",",",p
arrivant,arriver,13
aux,à,81
aux,le,71
cérémonies,cérémonie,22
religieuses,religieux,30
modernes,moderne,30
",",",",p
le,le,52
roulant,rouler,13
dans,dans,81
un,un,71
infini,infini,21
de,de,81
musique,musique,22
",",",",p
lamentable,lamentable,30
et,et,82
tendre,tendre,30
/.,/.,P
là,là,60
",",",",p
il,il,51
n',ne,60
avait,avoir,18
plus,plus,60
de,de,81
raisonnement,raisonnement,21
à,à,81
se,se,51
faire,faire,14
",",",",p
plus,plus,60
de,de,81
débats,débat,21
à,à,81
supporter,supporter,14
;,;,p
c',ce,52
était,être,18
une,un,71
indéfinissable,indéfinissable,30
impression,impression,22
de,de,81
respect,respect,21
et,et,82
de,de,81
crainte,crainte,22
;,;,p
le,le,71
sens,sens,21
artiste,artiste,21
était,être,18
subjugué,subjuguer,12
par,par,81
les,le,71
scènes,scène,22
si,si,60
bien,bien,60
calculées,calculé,31
des,de,81
des,le,71
catholiques,catholique,21
;,;,p
à,à,81
ces,ce,74
souvenirs,souvenir,21
",",",",p
ses,son,73
nerfs,nerf,21
tressaillaient,tressaillir,18
",",",",p
puis,puis,60
en,en,81
une,un,71
subite,subit,30
rébellion,rébellion,22
",",",",p
en,en,81
une,un,71
rapide,rapide,30
volte,volte,22
",",",",p
des,de,81
des,le,71
idées,idée,22
monstrueuses,monstrueux,30
naissaient,naître,18
en,en,81
lui,lui,51
",",",",p
des,de,81
des,le,71
idées,idée,22
de,de,81
ces,ce,74
sacrilèges,sacrilège,21
prévus,prévu,31
par,par,81
le,le,71
manuel,manuel,21
des,de,81
des,le,71
confesseurs,confesseur,21
",",",",p
des,de,81
des,le,71
ignominieux,ignominieux,30
et,et,82
impurs,impur,30
abus,abus,21
de,de,81
l',le,71
eau,eau,22
bénite,béni,31
et,et,82
de,de,81
l',le,71
huile,huile,22
sainte,saint,30
/.,/.,P
en,en,81
face,face,22
d',de,81
un,un,71
dieu,dieu,21
omnipotent,omnipotent,30
",",",",p
se,se,51
dressait,dresser,18
maintenant,maintenant,60
un,un,71
rival,rival,21
plein,plein,30
de,de,81
force,force,22
",",",",p
le,le,71
démon,démon,21
",",",",p
et,et,82
une,un,71
affreuse,affreux,30
grandeur,grandeur,22
lui,lui,51
semblait,sembler,18
devoir,devoir,14
résulter,résulter,14
d',de,81
un,un,71
crime,crime,21
pratiqué,pratiqué,31
",",",",p
en,en,81
pleine,plein,30
église,église,22
par,par,81
un,un,71
croyant,croyant,21
s',se,51
acharnant,acharner,13
",",",",p
dans,dans,81
une,un,71
horrible,horrible,30
allégresse,allégresse,22
",",",",p
dans,dans,81
une,un,71
joie,joie,22
toute,tout,60
sadique,sadique,30
",",",",p
à,à,81
blasphémer,blasphémer,14
",",",",p
à,à,81
couvrir,couvrir,14
d',de,81
outrages,outrage,21
",",",",p
à,à,81
abreuver,abreuver,14
d',de,81
opprobres,opprobre,21
",",",",p
les,le,71
choses,chose,22
révérées,révéré,31
;,;,p
des,de,81
des,le,71
folies,folie,22
de,de,81
magie,magie,22
",",",",p
de,de,81
messe,messe,22
noire,noir,30
",",",",p
de,de,81
sabbat,sabbat,21
",",",",p
des,de,81
des,le,71
épouvantes,épouvante,22
de,de,81
possessions,possession,22
et,et,82
d',de,81
exorcismes,exorcisme,21
se,se,51
levaient,lever,18
;,;,p
il,il,51
en,en,52
venait,venir,18
à,à,81
se,se,51
demander,demander,14
s',si,83
il,il,51
ne,ne,60
commettait,commettre,18
pas,pas,60
un,un,71
sacrilège,sacrilège,21
",",",",p
en,en,81
possédant,posséder,13
des,de,81
des,le,71
objets,objet,21
autrefois,autrefois,60
consacrés,consacré,31
",",",",p
des,de,81
des,le,71
canons,canon,21
d',de,81
église,église,22
",",",",p
des,de,81
des,le,71
chasubles,chasuble,22
et,et,82
des,de,81
des,le,71
custodes,custode,22
;,;,p
et,et,82
",",",",p
cette,ce,74
pensée,pensée,22
d',de,81
un,un,71
état,état,21
peccamineux,peccamineux,30
lui,lui,51
apportait,apporter,18
une,un,71
sorte,sorte,22
d',de,81
orgueil,orgueil,21
et,et,82
d',de,81
allègement,allègement,21
;,;,p
il,il,51
y,y,52
démêlait,démêler,18
des,de,81
des,le,71
plaisirs,plaisir,21
de,de,81
sacrilèges,sacrilège,21
",",",",p
mais,mais,82
de,de,81
sacrilèges,sacrilège,21
contestables,contestable,30
",",",",p
en,en,81
tout,tout,75
cas,cas,21
",",",",p
peu,peu,60
graves,grave,30
",",",",p
puisqu',puisque,83
en,en,81
somme,somme,22
il,il,51
aimait,aimer,18
ces,ce,74
objets,objet,21
et,et,82
n',ne,60
en,en,52
dépravait,dépraver,18
pas,pas,60
l',le,71
usage,usage,21
;,;,p
il,il,51
se,se,51
berçait,bercer,18
ainsi,ainsi,60
de,de,81
pensées,pensée,22
prudentes,prudent,30
et,et,82
lâches,lâche,30
",",",",p
la,le,71
suspicion,suspicion,22
de,de,81
son,son,73
âme,âme,22
lui,lui,51
interdisant,interdire,13
des,de,81
des,le,71
crimes,crime,21
manifestes,manifeste,30
",",",",p
lui,lui,51
enlevant,enlever,13
la,le,71
bravoure,bravoure,22
nécessaire,nécessaire,30
pour,pour,81
accomplir,accomplir,14
des,de,81
des,le,71
péchés,péché,21
épouvantables,épouvantable,30
",",",",p
voulus,voulu,31
",",",",p
réels,réel,30
/.,/.,P
peu,peu,60
à,à,81
peu,peu,60
enfin,enfin,60
",",",",p
ces,ce,74
arguties,argutie,22
s',se,51
évanouirent,évanouir,19
/.,/.,P
il,il,51
vit,voir,19
",",",",p
en,en,81
quelque,quelque,75
sorte,sorte,22
",",",",p
du,de,81
du,le,71
haut,haut,21
de,de,81
son,son,73
esprit,esprit,21
",",",",p
le,le,71
panorama,panorama,21
de,de,81
l',le,71
Eglise,Eglise,20
",",",",p
son,son,73
influence,influence,22
héréditaire,héréditaire,30
sur,sur,81
l',le,71
humanité,humanité,22
",",",",p
depuis,depuis,81
des,de,81
des,le,71
siècles,siècle,21
;,;,p
il,il,51
se,se,51
la,le,52
représenta,représenter,19
",",",",p
désolée,désolé,31
et,et,82
grandiose,grandiose,30
",",",",p
énonçant,énoncer,13
à,à,81
l',le,71
homme,homme,21
",",",",p
l',le,71
horreur,horreur,22
de,de,81
la,le,71
vie,vie,22
",",",",p
l',le,71
inclémence,inclémence,22
de,de,81
la,le,71
destinée,destinée,22
;,;,p
prêchant,prêcher,13
la,le,71
patience,patience,22
",",",",p
la,le,71
contrition,contrition,22
",",",",p
l',le,71
esprit,esprit,21
de,de,81
sacrifice,sacrifice,21
;,;,p
tâchant,tâcher,13
de,de,81
panser,panser,14
les,le,71
plaies,plaie,22
",",",",p
en,en,81
montrant,montrer,13
les,le,71
blessures,blessure,22
saignantes,saignant,30
du,de,81
du,le,71
Christ,Christ,20
;,;,p
assurant,assurer,13
des,de,81
des,le,71
privilèges,privilège,21
divins,divin,30
",",",",p
promettant,promettre,13
la,le,71
meilleure,meilleur,30
